"Fecha","Usuario","Equipo","Tipo","Proyecto","Configuracion","Framework","Compilacion_s","Despliegue_s","Total_s","Resultado"
"2025-10-08 17:54:38","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","8,28","16,8","25,08","OK"
"2025-10-08 19:16:59","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","81,84","0","81,85","OK"
"2025-10-08 19:17:33","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","3,61","0","3,61","OK"
"2025-10-08 19:18:18","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","2,02","0","2,02","OK"
"2025-10-08 19:18:44","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","2","0","2","OK"
"2025-10-08 20:08:29","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","56,16","2,72","58,9","OK"
"2025-10-08 20:09:15","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","1,94","1,52","3,47","OK"
"2025-10-08 20:10:12","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","7,73","1,68","9,41","OK"
"2025-10-08 20:20:28","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","6,47","0,56","8,1","OK"
"2025-10-08 20:24:31","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","2,29","0,38","3,25","OK"
"2025-10-08 20:25:23","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","2,24","0,84","3,84","OK"
"2025-10-08 20:29:44","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","7,13","0,73","9,58","OK"
"2025-10-08 20:33:08","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","2,33","0,77","4,82","OK"
"2025-10-08 20:36:58","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","2,27","0,67","4,89","OK"
"2025-10-08 20:41:22","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","7,24","4,65","13,84","OK"
"2025-10-08 20:53:03","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","201,75","13,03","217,12","OK"
"2025-10-08 21:01:33","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","8,8","8,11","20,78","OK"
"2025-10-08 21:43:21","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","8,67","11,21","22,63","OK"
"2025-10-08 21:43:59","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","net9.0-android","2,16","4,78","8,97","OK"
"2025-10-09 17:57:21","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","(auto)","9,27","7,59","20,52","OK"
"2025-10-09 18:07:24","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","(auto)","8,76","12,53","23,94","OK"
"2025-10-09 18:17:06","","","","SayApp.FichajesQR.LectorAndroid.csproj","Debug","(auto)","8,98","8,04","20,72","OK"
